sample_uid,dataset,split,neg_type,label,s_id,group_id,is_mismatch_s,style_ref_text_uid,query_text_uid
S000000001,C4NEWS,dev,POS,1,0,0,0,b38c6f1a45f84506,f2b22fc421aaeb11
S000000002,C4NEWS,dev,NEG-Anchor,0,0,0,0,b38c6f1a45f84506,6ea6b940029d498e
S000000003,C4NEWS,dev,NEG-neutral,0,0,0,0,b38c6f1a45f84506,f25b46c1e19971ec
S000000004,C4NEWS,dev,NEG-wrong_ref_s,0,0,0,0,b38c6f1a45f84506,29035fc7e7d19ada
S000000005,C4NEWS,dev,NEG-Mismatch-S,0,0,0,1,cf94deb99c45feae,f2b22fc421aaeb11
S000000006,C4NEWS,dev,NEG-Mismatch-S,0,0,0,1,ea8791775092b675,f2b22fc421aaeb11
S000000007,C4NEWS,dev,NEG-Mismatch-S,0,0,0,1,de58b50b46d501de,f2b22fc421aaeb11
S000000008,C4NEWS,dev,POS,1,1,1,0,97845366021621ae,bacd1e073b739ec6
S000000009,C4NEWS,dev,NEG-Anchor,0,1,1,0,97845366021621ae,68811ac85f1c1246
S000000010,C4NEWS,dev,NEG-neutral,0,1,1,0,97845366021621ae,f46140e726bb2360
S000000011,C4NEWS,dev,NEG-wrong_ref_s,0,1,1,0,97845366021621ae,c4dc2b7a0b0eed41
S000000012,C4NEWS,dev,NEG-Mismatch-S,0,1,1,1,0ada81b6502d979f,bacd1e073b739ec6
S000000013,C4NEWS,dev,NEG-Mismatch-S,0,1,1,1,58ba89b99cc10505,bacd1e073b739ec6
S000000014,C4NEWS,dev,NEG-Mismatch-S,0,1,1,1,f82042761c4e7023,bacd1e073b739ec6
S000000015,C4NEWS,dev,POS,1,2,2,0,950ad19c7263d4de,0609a64bf6bba0cc
S000000016,C4NEWS,dev,NEG-Anchor,0,2,2,0,950ad19c7263d4de,a8556cae03520d1f
S000000017,C4NEWS,dev,NEG-neutral,0,2,2,0,950ad19c7263d4de,8a30cf2cac745ff1
S000000018,C4NEWS,dev,NEG-wrong_ref_s,0,2,2,0,950ad19c7263d4de,d831c0825d37889b
S000000019,C4NEWS,dev,NEG-Mismatch-S,0,2,2,1,2de360f8243835fc,0609a64bf6bba0cc
S000000020,C4NEWS,dev,NEG-Mismatch-S,0,2,2,1,f063c1c82ff0c19d,0609a64bf6bba0cc
