sample_uid,dataset,split,neg_type,label,s_id,group_id,is_mismatch_s,style_ref_text_uid,query_text_uid
S000000001,CCAT50,dev,POS,1,0,0,0,f834c580d37f04b6,10a9582a6c83c27c
S000000002,CCAT50,dev,NEG-Anchor,0,0,0,0,f834c580d37f04b6,3d0726f8b0b7bdc6
S000000003,CCAT50,dev,NEG-neutral,0,0,0,0,f834c580d37f04b6,b117342fbd64b254
S000000004,CCAT50,dev,NEG-wrong_ref_s,0,0,0,0,f834c580d37f04b6,f2dd3a0641631a54
S000000005,CCAT50,dev,NEG-Mismatch-S,0,0,0,1,8184f4bf4e2a9c0d,10a9582a6c83c27c
S000000006,CCAT50,dev,NEG-Mismatch-S,0,0,0,1,320f7668b7039498,10a9582a6c83c27c
S000000007,CCAT50,dev,NEG-Mismatch-S,0,0,0,1,a13103a4a2955421,10a9582a6c83c27c
S000000008,CCAT50,dev,POS,1,1,1,0,59958e954ed30db2,a3ddddb6733aaa2b
S000000009,CCAT50,dev,NEG-Anchor,0,1,1,0,59958e954ed30db2,45fea61f6da0b769
S000000010,CCAT50,dev,NEG-neutral,0,1,1,0,59958e954ed30db2,2cec2e4f6a48d8a0
S000000011,CCAT50,dev,NEG-wrong_ref_s,0,1,1,0,59958e954ed30db2,9c0b72db940eb517
S000000012,CCAT50,dev,NEG-Mismatch-S,0,1,1,1,16e043ffb9b45888,a3ddddb6733aaa2b
S000000013,CCAT50,dev,NEG-Mismatch-S,0,1,1,1,112b682510311d39,a3ddddb6733aaa2b
S000000014,CCAT50,dev,NEG-Mismatch-S,0,1,1,1,524500d8719d9358,a3ddddb6733aaa2b
S000000015,CCAT50,dev,POS,1,2,2,0,9dfeec74dd081b4f,ae965ef77ca55500
S000000016,CCAT50,dev,NEG-Anchor,0,2,2,0,9dfeec74dd081b4f,4e28fc0a2fd64671
S000000017,CCAT50,dev,NEG-neutral,0,2,2,0,9dfeec74dd081b4f,fe85af5ed6570ba6
S000000018,CCAT50,dev,NEG-wrong_ref_s,0,2,2,0,9dfeec74dd081b4f,bf8f924227e47dd3
S000000019,CCAT50,dev,NEG-Mismatch-S,0,2,2,1,3994f038dfe8c229,ae965ef77ca55500
S000000020,CCAT50,dev,NEG-Mismatch-S,0,2,2,1,7823e0ef178d5066,ae965ef77ca55500
S000000021,CCAT50,dev,NEG-Mismatch-S,0,2,2,1,1df74a9e7c17b67d,ae965ef77ca55500
S000000022,CCAT50,dev,POS,1,3,3,0,4e8fff2048de40a9,ff0630ece6b9bb34
